Item ID,Title,Clicks,Orders,Revenue,Cost,ROAS,Recommended_Bucket,Reason
shopify_mx_8840910668000_47093600485600,Bolsa táctica 5.11 Covert Select Florida Green,7,0,0.0,14.53,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_4489796059188_44170628759776,TENNIS TACTICOS 5.11 - A/T TRAINER Brown Duck / 7 MX,10,0,0.0,14.48,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8050611028192_44027700216032,PANTALON TACTICO 5.11 - SPIRE PARA MUJER Dark Navy / 2,5,0,671.39,14.48,46.37,Zombies,insufficient_data_<30_clicks
shopify_mx_8272350216416_44897960362208,CHAMARRA TACTICA 5.11 - PT-R CATALYST CON CIERRE PARA MUJER Sage Green / M,5,0,0.0,14.47,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_9093954011360_48403765919968,PANTALON TACTICO 5.11 - PEAK CARGO Mushroom / 38 / 32,12,0,0.0,14.44,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8050611192032_47181666648288,CAMISA TACTICA 5.11 - WYATT MANGA CORTA Storm / Small,6,0,0.0,14.42,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_7819741987040_43331002630368,CAMISA TACTICA 5.11 - HOLSTER PARA MUJER,16,0,0.0,14.36,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_4489796059188_44170610213088,TENNIS TACTICOS 5.11 - A/T TRAINER Dune / 4 MX,4,0,0.0,14.33,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_9042319474912_48771908731104,MOCHILA TACTICA 5.11 - UCR BACKPACK Black,4,0,0.0,14.3,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8017990287584_43934457200864,"Bota táctica 5.11 A/T 8"" ARID | Rendimiento y soporte inigualables Coyote / 8 MX",7,0,0.0,14.28,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_6690410954927_44170408296672,CUBREBOCAS 5.11 Black / Large,10,0,0.0,14.27,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_8225754611936_44644446568672,CAMISA TACTICA 5.11 - MARKSMAN MANGA CORTA PARA MUJER Desert Sage / Small,7,0,0.0,14.26,0.0,Zombies,insufficient_data_<30_clicks
shopify_mx_9044311245024_48045465108704,CHAMARRA 5.11 - EXPLORE PRIMALOFT Black / L,8,0,0.0,14.26,0.0,Zombies,insufficient_data_<30_clicks
